Abstr	1239	1353	1250	1807	1341	1576	1434	919	1410	1806	1579	1536	1621	1997	730	1377	1612	1283	1311	1083	748	1912	1381	1473	826	1528	1211	555	1763	1862	1366	1038	1275	1646	1394	1255	1839	1138	1096
INTROD	8884	3403	5228	5424	5287	5505	4359	3540	8861	4439	5009	4966	7398	2964	7964	5945	5324	8764	3299	2827	5834	3329	4671	6106	4399	6315	1598	6041	3726	3710	6221	6356	4762	5033	5692	6200	3581	4778
INTRID
RELATE	5488	2313	5406	4574	2833	6001	4952	2487	7436	3531	2623	4823	6042	1908	3719	4584	4248	5237	1701	2683	3268	2347	2139	5929	4436	3617
BACKG	7618	8816	6193	2541	3232	1578	8609	10684	5307	4705
APPROA	10472	24852
CONCLUS	2256	1646	1979	900	944	2666	2212	2579	1075	2105	1294	613	454	3801	1338	990	725	871	746	1939	364	1969	766	478	1575	892	1515	563	1174	572	477	1480	1734
ACKNOWLED	264	207	251	545	777	630	665	722	262	327	85	448	136	237	151	165	222	257	269	158	310	220
REFEREN	8425	5527	5850	6635	11651	7279	12174	4232	7264	6105	7762	8555	1270	6530	5229	8364	5443	1834	2303	4586	3841	7168	3364	6589	4226	1837	3503	9400	6230	3957	5512	2475	3135	5708	2959	4136
EVALUA	9794	10736	7819	10136	13898	8503	4949	8126	25846	11446	7106	4528	4918	13726	6250	6347	2905	3524	8731
RESUL	1110	4196	12439	8747	13214	9952	9003	320	4833
DISCUSS	1905	5613
