	Primaere Kapitel	Sekundaere Kapitel
05942039.pdf	2450	3234
05942041.pdf	1581	3134
05942042.pdf	3865	9081
05942043.pdf	2596	5102
05942044.pdf	2940	3165
05942045.pdf	2605	4731
05942046.pdf	2920	2243
05942047.pdf	3301	1969
05942048.pdf	2345	5638
05942060.pdf	1788	1669
07460660.pdf	2739	5221
07460663.pdf	5923	12313
07460664.pdf	5171	6708
07460665.pdf	882	2029
07460666.pdf	1255	1494
07460667.pdf	646	3120
07460668.pdf	1541	823
07460669.pdf	2335	2357
07460681.pdf	4998	11037
07460724.pdf	5967	4952
8455879.pdf	2590	11682
8455880.pdf	2894	5365
8455881.pdf	0	0
8455882.pdf	1923	5091
8455883.pdf	5012	3747
8455884.pdf	3028	6518
8455885.pdf	3264	6843
8455888.pdf	3172	13966
8480127.pdf	0	0
8480397.pdf	2675	3472
08484325.pdf	1529	2172
08484389.pdf	1478	3078
08484553.pdf	1755	5591
08484564.pdf	926	2976
08484612.pdf	1949	2447
08484613.pdf	1551	1526
08484690.pdf	1574	4713
08484695.pdf	1300	3168
08484697.pdf	1400	3936
08484718.pdf	1332	2752
08831193.pdf	5265	8271
08831195.pdf	2229	7022
08831198.pdf	4761	9331
08831199.pdf	3400	11602
08831204.pdf	3687	7660
08831207.pdf	4753	9228
08831208.pdf	3567	8952
08831213.pdf	4065	6800
08831214.pdf	3919	9157
08831220.pdf	4225	8575
08052702.pdf	1547	7424
08052703.pdf	2527	3168
08052711.pdf	4404	2688
08052712.pdf	3704	3082
08052714.pdf	1501	3567
08052715.pdf	1310	2799
08052717.pdf	2529	2971
08052719.pdf	1442	3107
08052735.pdf	1869	765
08052738.pdf	4595	6073
08480260.pdf	3436	15688
