Abstr	1083	748	1912	1381	1473	826	1528	1211	555	1763	1862	1366	1038	1275	1646	1394	1255	1839	1138	1096	1136	1088	2400	1317	1138	694	1346	1060	1342	890	1833	681	1079	718	850	798	986	803	708
INTROD	3299	2827	5834	3329	4671	6106	4399	6315	1598	6041	3726	3710	6221	6356	4762	5033	5692	6200	3581	4778	1916	4805	5026	3504	2243	5159	3338	3164	4300	2613	3784	2804	5345	3196	2769	2817	4182	4170	949
INTRID
RELATE	1908	3719	4584	4248	5237	1701	2683	3268	2347	2139	5929	4436	3617
BACKG	5307	4705
APPROA
CONCLUS	725	871	746	1939	364	1969	766	478	1575	892	1515	563	1174	572	477	1480	1734	503	1046	698	1323	813	828	1087	2215	948	1406	2142	948	851	840	1177	789	1121	484
ACKNOWLED	237	151	165	222	257	269	158	310	220	391	200	1351	866	937	351	587	142	150	231	705	500	293	904	381
REFEREN	1834	2303	4586	3841	7168	3364	6589	4226	1837	3503	9400	6230	3957	5512	2475	3135	5708	2959	4136	3638	3289	2943	3622	5658	2387	3857	2041	3259	1700	3101	2689	2800	4321	3270	2793	5133	8222	1705	2615
EVALUA	4918	13726	6250	6347	2905	3524	8731	1816	3277
RESUL	1110	4196	12439	8747	13214	9952	9003	320	4833	3686	4774	4701	5036	2744	1611	4278
DISCUSS	5613
